Rank,Player ID,Player,EX Rating,Charts Rated
257,zkuVKb7OHSSjBm4xp5e38rQ6zWw2,TheBean,2.230,12
258,zkrzqyaaV29LmxUUbQb0nxt2u2OE,SamtheHam42,2.429,6
259,zkoflPSsixUTmipnGtBYAvDoF1vF,ind_plstk10,2.044,4
260,zkhzoJo3fY1dQlRgUMwm8mRnUsRH,Uniquity,2.317,9
261,zkh5DG0Nx0Y8ipSwLUzrjwXfyOsH,Jokymi,3.862,33
262,zkgnowogplZZL25Yi2i61dWOlZuW,Xeno,2.259,9
263,zkTkP83NvsvQ6fmd3AuJKSbaz7qb,Soleiarias,2.073,8
264,zkPsBZOkqJEgWTgk1uA1bZXRk4RU,Big Toe Joe,3.932,36
265,zkHjCuZ3YdtRuXi9faeuLBPgRorN,爷上当了,2.544,17
266,zk7Z5zkKcDmOCbTFyx2QlAep8cnq,Subject227,4.247,144
267,zk4tqAQEIgGesDiC4ssgZImHQCh8,frivelocity,2.002,1
268,zk3LHMSkolDyRDaMwRwYQaY7HmiG,Wkurwiony górnik,2.611,11
269,zk0sBDWUDX4PGjD8SeiXG9CrDMB8,SeparatedMango1,5.006,32
270,zjsMiCWPdfwqLnYad5YRSeYVlPo8,Ahri,3.922,26
271,zjpY1CNq8yRwahxYpdHpzM2XCMzq,marosmiacz,2.104,3
272,zjo5J8FwQmkU9508kWEskhy0l0gX,rean from coldsteel,2.771,13
273,zjnWLxOMLAo69m3V4g7vJi9wPyYE,criticalfox,2.250,5
274,zjkoLw9KPobzfgJjxt8krO39xqcr,noob,2.020,1
275,zjhnfMSxorQRQ6KVolTzvaIZJu3C,ZipperWare,2.332,7
276,zjbGeqpW6gYoWfwdslBQKjBFAEMs,The Real Lancer,4.351,27
277,zjb9RkHGlbTrUbh5xxyFyW2G9CeF,kemil,4.751,42
278,zjaohQEsQIVbHHUrtyUgbf3Apg21,Ryuichi,4.001,50
279,zjYGqyTD8XhZUHiClrfhx1YIvUDQ,Unvindi,2.370,7
280,zjS7C4Tpfx6iD5WwzSUZC8KmK3sv,Dark997,2.230,7
281,zjQhApI92xIQVgny9SQCqLX6rV62,Redring,2.109,2
282,zjQIJc6u5CYEdcMCckTOxJM1zxj8,._v1d,3.723,42
283,zjPlzhKTu9mucRqcktY0OP8oTxxR,Theradjustin,4.081,110
284,zjNbOnLeq4ZsvDAA2eaYmgXg2fdA,Gyro_The_Zeppeli,2.517,10
285,zjMzhgS99pPelmrZ9ZzCRslw1Q7Q,Shel Silverstein,3.117,14
286,zjMjOvJXF9XXITwp25gid4n2Herx,Capgamez,2.099,1
287,zj5lX391IyYjiVpwkjXBuTV052qG,Zwar,3.726,19
288,zj5PKusMbJQSQL3ZRda7LZVazm4k,Ahnyks,2.089,2
289,zj3Kv1htL5KeAqtRPaFNnju1k4bV,TToasTT,2.131,6
290,zj0W0xfnOLsedb90ZyOln49brEpr,Vanducci,3.845,25
291,zizVZdT1PpsCh1R9rW9QTtiIvjAL,TextToBleach,4.926,111
292,zimFwvVxi6AoyIAbEouCjh41B6nh,El Wiwo :D,2.044,2
293,zikM2csBSX1nk9ukbFEK7XfrDRcA,Squodgephelp Midgedoppers,4.134,69
294,zigtTllJJ5E7HY0CSVhhP9o2AJjP,ThatOneLemming,2.044,3
295,zibOwiMsf6I67woqqDHMPBcxQlIi,nobyrio,2.083,6
296,zibIeXBmsvsbq15mpg94pDBx7NTW,Calamity Jane,2.022,3
